호선명,역ID,지하철역,07:00:00~07:59:59,,08:00:00~08:59:59,
경의선,1267,수색,3784,6044,5003,20169
경의선,1268,화전,4780,2134,5160,11193
경의선,1269,강매,21836,1348,19612,4026
경의선,1270,행신,44123,6892,36841,11320
경의선,1271,능곡,19503,2806,18738,7024
경의선,1272,곡산,2010,1465,1624,3044
경의선,1273,백마,39960,5955,29646,12226
경의선,1274,풍산,26221,4181,22492,8907
경의선,1275,일산,54481,7792,39264,20329
경의선,1276,탄현,41887,6240,33213,10788
경의선,1277,야당,35904,5747,34460,10029
경의선,1278,운정,34669,7091,33241,12274
경의선,1279,금릉,22945,6125,17798,12911
경의선,1280,금촌,21884,9916,20215,17322
경의선,1282,월롱,1944,10879,2207,13221
경의선,1283,파주,3079,2225,2989,6174
경의선,1284,문산,16816,7317,16238,16712
경의선,1285,임진강,0,0,0,0
경의선,1286,운천,0,0,0,0
경의선,1291,서울역,3033,28382,3630,43864
경의선,1292,공덕,4908,8282,5971,21361
경의선,1293,홍대입구,1552,2266,1808,7707
경의선,1294,디지털미디어시티,12702,2152,12798,4924
경의선,1295,김포공항,0,0,0,0
경의선,1296,계양,2,0,2,0
경춘선,1311,신내,9307,6382,7871,8982
경춘선,1312,갈매,19400,4037,11361,6314
경춘선,1313,별내,14472,4857,11189,8483
경춘선,1314,퇴계원,21394,4306,14520,5789
경춘선,1315,사릉,11944,5509,9105,5334
경춘선,1316,금곡,5133,2272,5363,6626
경춘선,1317,평내호평,33423,4902,25087,11386
경춘선,1318,천마산,9346,1606,6859,2279
경춘선,1319,마석,17246,6324,15178,7882
경춘선,1320,대성리,1741,730,1821,1134
경춘선,1321,청평,4461,1575,5791,4343
경춘선,1322,상천,676,285,786,731
경춘선,1323,가평,3690,2517,4265,6146
경춘선,1324,굴봉산,150,77,216,255
경춘선,1325,백양리,24,329,119,314
경춘선,1326,강촌,444,270,547,1689
경춘선,1327,김유정,690,507,565,810
경춘선,1328,남춘천,5095,2698,6190,5915
경춘선,1329,춘천,1642,1657,2542,4720
수인선,1873,고색,18982,16573,15614,27254
수인선,1874,오목천,14274,5616,15743,16360
수인선,1875,어천,2659,3904,3077,3349
수인선,1876,야목,1491,617,1374,729
수인선,1877,사리,28484,3561,25711,5516
수인선,1878,달월,139,170,206,309
수인선,1879,월곶,11724,1990,12336,3250
수인선,1880,소래포구,19738,3579,15645,6649
수인선,1881,인천논현,18696,9245,16672,13956
수인선,1882,호구포,8941,19671,8905,25495
수인선,1883,남동인더스파크,1419,17258,2189,21470
수인선,1884,원인재,15683,6121,17700,8527
수인선,1885,연수,17734,4770,15472,12581
수인선,1886,송도,10647,2727,10282,4372
수인선,1888,인하대,26117,5606,20255,25175
수인선,1889,숭의,15278,8857,13283,13049
수인선,1890,신포,3595,4319,3349,10015
수인선,1891,인천,2294,2883,2088,4802
경강선,1501,판교,5931,17351,4474,35326
경강선,1502,이매,5949,3366,4487,2917
경강선,1503,삼동,14473,2789,14006,2983
경강선,1504,경기광주,48250,6959,46647,10702
경강선,1505,초월,17205,5019,17248,6409
경강선,1506,곤지암,8552,5862,7693,8277
경강선,1507,신둔도예촌,7273,3246,5311,4437
경강선,1508,이천,9339,5786,7792,9819
경강선,1509,부발,7193,6919,6483,6711
경강선,1510,세종대왕릉,1150,680,1170,870
경강선,1511,여주,7484,3883,7005,6275
5호선,2511,방화,30032,6116,28011,14557
5호선,2512,개화산,24065,7723,22330,17596
5호선,2513,김포공항,5422,15388,8941,17862
5호선,2514,송정,21761,7115,25621,12267
5호선,2515,마곡,27452,16213,27638,53219
5호선,2516,발산,30902,41832,31957,126794
5호선,2517,우장산,63584,16719,63148,25910
5호선,2518,화곡,128489,16371,161580,35634
5호선,2519,까치산,136255,12157,167412,22756
5호선,2520,신정(은행정),70609,9980,83695,13279
5호선,2521,목동,66170,17646,79062,28868
5호선,2522,오목교(목동운동장앞),56303,31565,62692,69165
5호선,2523,양평,27030,9888,30967,39028
5호선,2524,영등포구청,8598,6811,12153,26295
5호선,2525,영등포시장,26152,14289,36815,40144
5호선,2526,신길,17092,4862,25124,14918
5호선,2527,여의도,10984,151352,15113,234312
5호선,2528,여의나루,6052,43670,9547,76786
5호선,2529,마포,30876,22511,39927,78571
5호선,2530,공덕,23304,32598,35821,86089
5호선,2531,애오개,20390,10421,27757,28366
5호선,2532,충정로(경기대입구),7246,14428,9723,37205
5호선,2533,서대문,20194,78307,25882,183602
5호선,2534,광화문(세종문화회관),9590,87289,15128,289897
5호선,2535,종로3가,3164,14757,5603,44884
5호선,2536,을지로4가,1983,19283,3543,47556
5호선,2537,동대문역사문화공원(DDP),1695,9945,3117,32756
5호선,2538,청구,7714,4404,12282,16077
5호선,2539,신금호,23099,10565,30864,13836
5호선,2540,행당,35259,5286,46928,9888
5호선,2541,왕십리(성동구청),6658,6523,9407,20044
5호선,2542,마장,17094,6668,21740,17444
5호선,2543,답십리,59857,15262,80022,36813
5호선,2544,장한평,59096,24671,81674,69718
5호선,2545,군자(능동),37015,8917,50349,29864
5호선,2546,아차산(어린이대공원후문),46132,16767,63003,31603
5호선,2547,광나루(장신대),44426,18859,49784,37741
5호선,2548,천호(풍납토성),31468,20504,39631,43711
5호선,2549,강동,61126,31109,73287,51666
5호선,2550,길동,24383,8290,28346,18736
5호선,2551,굽은다리(강동구민회관앞),40215,6501,39916,15480
5호선,2552,명일,39803,7521,35757,14480
5호선,2553,고덕,34351,19079,28484,18436
5호선,2554,상일동,83928,13360,60855,17055
5호선,2555,둔촌동,27394,11226,30102,20521
5호선,2556,올림픽공원(한국체대),13485,7619,13370,12429
5호선,2557,방이,21107,9265,19360,26292
5호선,2558,오금,9159,10621,8637,22275
5호선,2559,개롱,26469,8224,24416,16922
5호선,2560,거여,54259,10367,48448,19166
5호선,2561,마천,48275,5343,36833,12104
5호선,2562,강일,27078,5270,24528,8311
5호선,2563,미사,76417,12979,71826,25893
5호선,2564,하남풍산,11403,7194,12976,17642
5호선,2565,하남시청(덕풍·신장),29071,6719,27229,16656
5호선,2566,하남검단산,25353,5819,22852,13332
6호선,2611,응암,77338,11114,96556,18130
6호선,2612,역촌,17551,2678,18472,8528
6호선,2613,불광,12795,4105,14532,7902
6호선,2614,독바위,15735,1761,14116,3020
6호선,2615,연신내,2,0,3,0
6호선,2616,구산,34843,8052,41314,7548
6호선,2617,새절(신사),58016,8928,69297,15993
6호선,2618,증산(명지대앞),43935,5583,52539,11232
6호선,2619,디지털미디어시티,55525,32613,60336,76239
6호선,2620,월드컵경기장(성산),9098,5015,10110,8617
6호선,2621,마포구청,44872,15639,60523,36742
6호선,2622,망원,29730,10354,40602,34235
6호선,2623,합정,15946,17920,22636,46759
6호선,2624,상수,10992,7446,14981,26910
6호선,2625,광흥창(서강),22529,16384,29632,37948
6호선,2626,대흥(서강대앞),17191,17146,24132,44252
6호선,2627,공덕,22846,41999,34097,109679
6호선,2628,효창공원앞,18646,8710,28744,28783
6호선,2629,삼각지,9341,15583,14989,30537
6호선,2630,녹사평(용산구청),5534,10242,8471,18251
6호선,2631,이태원,9860,12230,15107,32125
6호선,2632,한강진,3633,23038,5972,46295
6호선,2633,버티고개,5691,2581,8549,5765
6호선,2634,약수,5084,6433,8097,17458
6호선,2635,청구,8001,7319,11029,24708
6호선,2636,신당,7809,17542,12767,39952
6호선,2637,동묘앞,10899,8472,16490,26223
6호선,2638,창신,16115,7548,18312,7339
6호선,2639,보문,24489,10937,36815,21676
6호선,2640,안암(고대병원앞),10289,19293,14013,68715
6호선,2641,고려대(종암),23267,12862,29607,33811
6호선,2642,월곡(동덕여대),44948,8365,52246,33411
6호선,2643,상월곡(한국과학기술연구원),27224,3875,30973,15342
6호선,2644,돌곶이,43157,5981,46085,19259
6호선,2645,석계,53573,8876,59367,18055
6호선,2646,태릉입구,19566,4417,23923,11798
6호선,2647,화랑대(서울여대입구),67207,8895,61219,21486
6호선,2648,봉화산(서울의료원),52943,5991,43169,14383
6호선,2649,신내,0,0,1,0
7호선,2711,장암,19375,1364,11449,1802
7호선,2712,도봉산,54241,8739,44714,17578
7호선,2713,수락산,52379,8637,53889,18563
7호선,2714,마들,70003,9919,68333,12766
7호선,2715,노원,42789,20527,44943,48502
7호선,2716,중계,68316,19228,69747,31621
7호선,2717,하계,75192,19252,78617,30369
7호선,2718,공릉(서울과학기술대),39704,12672,44469,29384
7호선,2719,태릉입구,24117,9335,30407,23435
7호선,2720,먹골,39177,6413,48637,17247
7호선,2721,중화,41576,9168,50481,24839
7호선,2722,상봉(시외버스터미널),57823,14242,77959,29807
7호선,2723,면목,63105,9486,77566,35880
7호선,2724,사가정,61112,11859,76226,28055
7호선,2725,용마산(용마폭포공원),26204,4175,31197,10790
7호선,2726,중곡,34967,16748,48130,30263
7호선,2727,군자(능동),39851,9917,62311,31222
7호선,2728,어린이대공원(세종대),21521,17237,34882,85304
7호선,2729,건대입구,13850,20619,20820,46649
7호선,2730,뚝섬유원지,23773,6815,32951,14533
7호선,2731,청담,12295,66824,16830,157705
7호선,2732,강남구청,7850,36903,11139,114248
7호선,2733,학동,9148,57214,12771,195183
7호선,2734,논현,9065,44075,14097,109915
7호선,2735,반포,9008,13840,12682,20500
7호선,2736,고속터미널,11915,37850,19331,53818
7호선,2737,내방,20730,26847,31912,91099
7호선,2738,이수,30822,15993,47434,44282
7호선,2739,남성,43336,7443,61758,17753
7호선,2740,숭실대입구(살피재),42300,8976,53316,42220
7호선,2741,상도,38686,9131,48136,31887
7호선,2742,장승배기,28375,8236,41874,17508
7호선,2743,신대방삼거리,58393,9750,83828,19223
7호선,2744,보라매,19969,10615,28563,24872
7호선,2745,신풍,44480,12875,54829,20007
7호선,2746,대림(구로구청),16095,7179,23646,19170
7호선,2747,남구로,32320,32831,38335,102453
7호선,2748,가산디지털단지,24158,133724,27737,405846
7호선,2749,철산,93571,17365,93824,35651
7호선,2750,광명사거리,84543,17615,95205,26613
7호선,2751,천왕,58813,9763,64455,17399
7호선,2752,온수(성공회대입구),50649,11877,56737,22749
7호선,2753,까치울,0,0,0,0
7호선,2756,신중동,0,0,0,0
7호선,2757,부천시청,0,0,0,0
7호선,2758,상동,0,0,0,0
7호선,2760,굴포천,0,0,0,0
8호선,2811,암사,89627,9647,114208,20072
8호선,2812,천호(풍납토성),45047,15341,61133,30561
8호선,2813,강동구청,35302,15515,45802,35244
8호선,2814,몽촌토성(평화의문),13057,13565,19820,30359
8호선,2815,잠실(송파구청),9734,34626,14225,84958
8호선,2816,석촌,17655,9101,25135,21699
8호선,2817,송파,33141,12044,38641,19323
8호선,2818,가락시장,11214,14753,14405,40975
8호선,2819,문정,25206,58234,35606,181411
8호선,2820,장지,51748,31228,63220,51556
8호선,2821,복정,30106,11938,39698,20289
8호선,2822,산성,24998,3268,27843,10235
8호선,2823,남한산성입구(성남법원.검찰청),60174,11719,72524,34846
8호선,2824,단대오거리,53065,12258,60533,25557
8호선,2825,신흥,18889,3972,23969,7210
8호선,2826,수진,17451,6810,24915,12409
8호선,2827,모란,9324,5316,12081,11685
8호선,2828,남위례,20271,7854,24736,26987
9호선,4101,개화,19241,3461,12355,5204
9호선,4102,김포공항,7137,19488,10721,21141
9호선,4103,공항시장,11010,2043,11927,4376
9호선,4104,신방화,32121,5559,30334,12480
9호선,4105,마곡나루(서울식물원),34269,20848,34292,55941
9호선,4106,양천향교,34284,12214,34762,44234
9호선,4107,가양,85229,31593,86678,52698
9호선,4108,증미,24630,9700,26933,45341
9호선,4109,등촌,50537,7546,61585,18443
9호선,4110,염창,88239,8967,93485,22711
9호선,4111,신목동,23621,3611,21891,6639
9호선,4112,선유도,23953,16607,28673,44918
9호선,4113,당산,59349,17424,68671,50191
9호선,4114,국회의사당,4703,47551,7724,155939
9호선,4115,여의도,9350,147416,11377,181527
9호선,4116,샛강,5608,17038,7225,41255
9호선,4117,노량진,71495,39861,100940,63381
9호선,4118,노들,18760,2427,23728,4597
9호선,4119,흑석(중앙대입구),18371,13540,22545,36023
9호선,4120,동작(현충원),5327,1846,6188,3182
9호선,4121,구반포,1435,2739,1944,4220
9호선,4122,신반포,6859,8653,8524,10437
9호선,4123,고속터미널,18944,20899,24423,30299
9호선,4124,사평,12292,5821,15056,8560
9호선,4125,신논현,34394,41871,46810,93158
공항철도 1호선,4201,서울역,12416,22364,16065,30159
공항철도 1호선,4202,공덕,6881,4256,6533,11854
공항철도 1호선,4203,홍대입구,11691,10830,14551,26709
공항철도 1호선,4204,디지털미디어시티,21606,32957,22485,98130
공항철도 1호선,4206,마곡나루(서울식물원),16342,31765,17303,74917
공항철도 1호선,4207,김포공항,7188,22959,15505,20451
공항철도 1호선,4208,계양,79739,5069,63008,7281
공항철도 1호선,4209,검암,38295,8022,27862,15500
공항철도 1호선,4210,청라국제도시,34935,8179,22458,19330
공항철도 1호선,4211,운서,32157,12267,29016,13160
공항철도 1호선,4212,공항화물청사,2151,13246,2403,23274
공항철도 1호선,4213,인천공항1터미널,15383,34533,18476,31073
공항철도 1호선,4215,인천공항2터미널,5976,13896,7226,16922
공항철도 1호선,4217,영종,16237,3145,12112,4083
9호선2~3단계,4126,언주,7361,22521,10764,69166
9호선2~3단계,4127,선정릉,8767,20533,10826,69251
9호선2~3단계,4128,삼성중앙,6677,18138,8196,47552
9호선2~3단계,4129,봉은사,10232,43031,11418,121134
9호선2~3단계,4130,종합운동장,10714,5767,12298,13160
9호선2~3단계,4131,삼전,22918,4369,36572,13130
9호선2~3단계,4132,석촌고분,19004,5912,31823,16779
9호선2~3단계,4133,석촌,25877,5732,35029,13326
9호선2~3단계,4134,송파나루,13880,4716,19702,13347
9호선2~3단계,4135,한성백제,8053,3282,10864,8221
9호선2~3단계,4136,올림픽공원(한국체대),17494,7085,22369,19821
9호선2~3단계,4137,둔촌오륜,3683,4445,4324,2537
9호선2~3단계,4138,중앙보훈병원,49607,13217,51014,21294
우이신설선,4701,북한산우이,9921,2818,11128,7331
우이신설선,4702,솔밭공원,11912,1559,12165,3304
우이신설선,4703,4.19민주묘지,9792,2057,10979,15546
우이신설선,4704,가오리,18798,3013,19604,6142
우이신설선,4705,화계,15129,2571,15350,5620
우이신설선,4706,삼양,7609,1514,8071,3613
우이신설선,4707,삼양사거리,8650,2458,10133,4220
우이신설선,4708,솔샘,33268,4116,31356,4747
우이신설선,4709,북한산보국문,23235,5869,25307,13065
우이신설선,4710,정릉,15587,3608,17855,7931
우이신설선,4711,성신여대입구(돈암),4084,4409,7599,11455
우이신설선,4712,보문,2284,3819,4535,5458
우이신설선,4713,신설동,1399,6043,2804,13147
신림선,4401,샛강,1571,11839,2720,26972
신림선,4402,대방,6339,2864,11156,5319
신림선,4403,서울지방병무청,9901,4233,13683,6018
신림선,4404,보라매,8715,5367,13336,13388
신림선,4405,보라매공원,6052,4574,6639,8341
신림선,4406,보라매병원,7172,15764,8367,50315
신림선,4407,당곡,13343,3517,19016,8344
신림선,4408,신림,4014,1459,7272,2753
신림선,4409,서원,14058,1115,20731,2168
신림선,4410,서울대벤처타운,31874,6012,43094,9337
신림선,4411,관악산(서울대),5465,4627,6112,13674
